,id,name,sdate,edate
187,192,['Italian Dodecanese'],1/1/1919,2/9/1947
188,193,['German Samoa'],3/1/1901,1/9/1920
189,194,['Samoa'],1/1/1962,9
190,195,['Western Samoa Trust Territory'],1/10/1920,12/31/1945
191,196,['Western Samoa Trust Territory'],1/1/1946,12/31/1961
192,197,['Turkish Republic of Northern Cyprus'],11/15/1983,9
193,198,['Portuguese India'],1814-01-01,12/18/1961
194,199,['Cape Verde'],7/5/1975,9
195,200,['Portuguese Cape Verde'],1461-12-23,7/4/1975
196,201,['Transnistria'],7/21/1992,9
197,202,['French Polynesia'],1/1/1946,9
198,203,['US occupation of Ryukyu Islands'],4/28/1952,5/13/1973
199,204,['Colony of Trinidad and Tobago'],1889-01-01,8/30/1963
200,205,['Trinidad and Tobago'],8/31/1962,9
201,206,['Brunei'],1/1/1984,9
202,207,['Protectorate of Brunei'],9/29/1959,12/31/1983
203,208,['Protectorate of Brunei (1945â€“1959)'],8/15/1945,9/28/1959
204,209,['Jordan West Bank'],5/14/1948,5/3/1967
205,210,['Cyprus'],11/15/1983,9
206,211,['Palestinian National Authority'],5/4/1994,9
207,212,['Sikkim'],8/15/1947,5/16/1975
208,213,['British Cameroons'],6/28/1919,5/31/1961
209,214,['Abkhazia'],8/30/2008,9
210,215,['French Guiana'],3/19/1946,9
211,216,['Cyprus'],8/16/1960,11/14/1983
212,217,['Puerto Rico'],1897-11-25,9
213,218,['British Cyprus'],1/1/1914,8/15/1960
214,219,['Lebanon'],11/8/1943,9
215,220,['State of Greater Lebanon'],9/1/1920,11/7/1943
216,221,['Kosovo'],2/17/2008,9
217,222,['Gambia'],2/18/1965,9
218,223,['Gambia Colony and Protectorate'],1889-01-01,8/17/1965
219,224,['Jamaica'],8/6/1962,9
220,225,['Colony of Jamaica'],1/1/1905,8/5/1962
221,226,['Qatar'],9/3/1971,9
222,227,['Protectorate of Qatar'],1/1/1916,9/2/1971
223,228,['Falkland Islands'],1841-01-01,9
224,229,['Bahamas'],7/10/1973,9
225,230,['The Crown Colony of the Bahama Islands'],1/1/1901,7/9/1973
226,232,['Vanuatu'],6/30/1980,9
227,233,['New Hebrides'],1/1/1906,6/29/1980
228,234,['Montenegro'],6/3/2006,9
229,235,['East Timor'],5/20/2002,9
230,236,['Portuguese Timor'],1869-01-01,6/30/1976
231,237,['Kuwait'],6/19/1961,9
232,238,['British Kuwait'],1/1/1927,6/18/1961
233,239,['Eswatini'],9/6/1968,9
234,240,['Colony of Swaziland'],1/1/1906,9/5/1968
235,241,['Fiji'],10/10/1970,9
236,242,['Colony of Fiji'],1877-01-01,10/9/1970
237,243,['New Caledonia'],1/1/1961,9
238,244,['New Caledonia'],3/19/1946,12/31/1960
239,245,['Colony of New Caledonia'],1853-09-24,3/18/1946
240,246,['Slovenia'],4/27/1992,9
241,247,['El Salvador'],1898-11-13,9
242,248,['Israel'],5/14/1948,5/3/1967
243,249,['Djibouti'],6/27/1977,9
244,250,['French Territory of the Afars and the Issas'],7/5/1967,6/26/1977
245,251,['French Somaliland'],11/27/1941,7/4/1967
246,252,['Belize'],9/21/1981,9
247,253,['British Honduras'],1/1/1971,9/20/1981
248,254,['British Honduras'],1884-10-02,12/31/1970
249,255,['Rwanda'],1/7/1962,9
250,256,['North Macedonia'],11/20/1991,9
251,257,['Equatorial Guinea'],10/12/1968,9
252,258,['Spanish Guinea'],8/11/1926,10/11/1968
253,259,['Solomon Islands'],7/7/1978,9
254,260,['British Solomon Islands'],1899-01-01,7/6/1978
255,261,['Haiti'],1844-02-27,9
256,262,['Burundi'],7/1/1962,9
257,263,['Israel'],5/1/1979,5/3/1994
258,264,"[""People's Socialist Republic of Albania""]",11/28/1944,1/1/1992
259,265,['Albania'],1/2/1992,9
260,266,['Armenia'],12/21/1991,9
261,267,['Belgium'],6/28/1919,9
262,268,['Lesotho'],10/4/1966,9
263,269,['Basutoland'],1884-01-01,10/3/1966
264,270,['Guinea-Bissau'],9/10/1974,9
265,271,['Portuguese Guinea'],1/1/1951,9/9/1974
266,272,['Portuguese Guinea'],1/1/1936,12/31/1950
267,274,['Netherlands'],5/5/1945,9
268,275,['Taiwan'],12/1/1949,9
269,276,['Republic of Formosa'],1895-03-23,1895-10-20
270,277,['Taiwan under Japanese rule'],1895-10-21,10/24/1945
271,278,['Bhutan'],12/17/1907,9
272,279,['French Occupation Zone'],12/15/1947,5/22/1949
273,280,['Switzerland'],1848-11-12,9
274,281,['Denmark'],5/1/1979,9
275,282,['Morocco'],8/5/1979,9
276,283,['Morocco'],3/4/1958,1/3/1969
277,284,['Estonia'],9/6/1991,9
278,285,['Dominican Republic'],1865-03-03,9
279,286,['Slovakia'],1/1/1993,9
280,287,['Spain'],12/6/1978,9
281,288,['Spain under the Restoration'],1874-12-29,4/13/1931
282,289,['Second Spanish Republic'],4/14/1931,4/1/1939
283,290,['Spanish State'],4/2/1939,12/5/1978
284,291,['Malagasy Republic'],10/14/1958,6/25/1960
285,292,['Costa Rica'],1847-03-21,9
286,293,['Bosnia and Herzegovina'],4/27/1992,9
287,294,['British Indian Ocean Territory'],6/23/1976,9
288,295,['British Indian Ocean Territory'],11/8/1965,6/22/1976
289,296,['Croatia'],4/27/1992,9
290,297,['Togo'],4/27/1960,9
291,298,['French Togoland'],10/5/1958,4/26/1960
292,299,['Svalbard'],5/8/1945,9
293,300,['Latvia'],9/6/1991,9
294,301,['Lithuania'],9/6/1991,9
295,302,['Sri Lanka'],5/22/1972,9
296,303,['British Ceylon'],1815-03-05,2/3/1948
297,304,['Dominion of Ceylon'],2/4/1948,5/21/1972
298,305,['Ireland'],4/18/1949,9
299,306,['Irish Free State'],12/8/1922,4/17/1949
300,307,['Georgia'],12/21/1991,9
301,308,['United Arab Emirates'],12/2/1971,9
302,309,['Trucial States'],1/1/1902,12/1/1971
303,310,['Sierra Leone'],4/27/1961,9
304,311,['Colony of Sierra Leone'],1/1/1924,4/26/1961
305,313,['Panama'],11/3/1903,9
306,314,['Serbia'],2/17/2008,9
307,315,['Biafra'],5/30/1967,1/14/1970
308,316,['Czech Republic'],1/1/1993,9
309,317,['Austria'],5/15/1955,9
310,318,['Azerbaijan'],12/21/1991,9
311,319,['Serbia'],6/3/2006,2/16/2008
312,320,['Israel'],6/1/1967,4/30/1979
313,321,['Jordan'],8/2/1958,9
314,322,['Jordan'],5/25/1946,2/14/1958
315,323,['Portugal'],1808-01-01,9
316,324,['Hungary'],10/23/1989,9
317,325,"[""People's Republic of Hungary""]",8/20/1949,10/22/1989
318,326,['Republic of Hungary'],2/1/1946,8/19/1949
319,327,['Liberia'],1847-06-26,9
320,328,"[""People's Republic of Korea""]",8/15/1945,9/8/1945
321,329,['South Korea'],8/15/1948,9
322,330,['US occupation of Korea'],9/9/1945,8/14/1948
323,331,['British occupation zone'],5/5/1945,5/22/1949
324,332,['Serbia and Montenegro'],4/27/1992,6/2/2006
325,333,['Iceland'],12/1/1918,9
326,334,['Soviet occupation zone'],5/5/1945,10/4/1949
327,335,['American occupation zone'],5/5/1945,5/22/1949
328,336,['German Democratic Republic'],10/5/1949,10/2/1990
329,337,['Guatemala'],1823-07-01,9
330,338,['Cuba'],5/20/1902,9
331,339,['Bulgaria'],9/7/1940,9
332,340,['Honduras'],1/1/1925,9
333,341,['Benin'],3/1/1990,9
334,342,"[""People's Republic of Benin""]",11/30/1975,2/28/1990
335,343,['French Dahomey'],10/5/1958,7/31/1960
336,344,['Republic of Dahomey'],8/1/1960,11/29/1975
337,345,['Malawi'],7/6/1964,9
338,346,['Nyasaland'],1/1/1964,7/5/1964
339,347,['Nyasaland'],7/6/1907,7/31/1953
340,348,['Eritrea'],5/24/1993,9
341,349,Eritrea,11/27/1941,9/14/1952
342,350,['North Korea'],9/9/1948,9
343,351,"[""People's Committee for North Korea""]",2/2/1946,9/8/1948
344,352,['Soviet Civil Authority'],8/15/1945,2/1/1946
345,353,['Serbia and Montenegro'],4/7/1992,4/7/1993
346,354,['Kingdom of Greece'],6/1/1945,2/9/1947
347,355,['Czechoslovakia'],1/1/1946,12/3/1992
348,356,['Nicaragua'],1/1/1933,9
349,357,['Kingdom of Greece'],2/10/1947,12/7/1973
350,358,['Greece'],12/8/1973,9
351,359,['Federation of Malaya'],1/31/1948,8/30/1957
352,360,['Malayan Union'],4/1/1946,1/30/1948
353,361,['Malaysia'],8/31/1957,9/15/1963
354,362,['Japanese-occupied Malaya'],1/31/1942,8/14/1945
355,363,['Yemen Arab Republic'],9/26/1962,5/21/1990
356,364,['Mutawakkilite Kingdom of Yemen'],10/30/1918,9/25/1962
357,365,['British Somaliland'],1/1/1920,6/26/1960
358,366,['Somaliland'],5/18/1991,9
359,367,['Bangladesh'],12/16/1971,9
360,368,['Tajikistan'],9/9/1991,9
361,369,['Surinam'],1831-01-01,12/14/1954
362,370,['Suriname'],11/25/1975,9
363,371,['Suriname'],12/15/1954,11/24/1975
364,372,['Nepal'],1768-01-01,9
365,373,['Tunisia'],3/20/1956,9
366,374,['French protectorate of Tunisia'],1881-05-12,3/19/1956
367,375,['North Vietnam'],5/1/1954,7/1/1976
368,376,['South Vietnam'],5/1/1954,7/1/1976
369,377,['Uruguay'],1828-08-27,9
370,378,['Serbia and Montenegro'],1/15/1992,4/6/1992
371,379,['Cambodia'],11/9/1953,9
372,380,['French Cambodia'],10/27/1945,11/8/1953
373,381,Kingdom of Kampuchea,3/12/1945,10/26/1945
374,382,['Syria'],6/1/1967,9
375,383,['Syria'],1/1/1946,5/3/1967
376,384,['Senegal'],4/4/1960,9
377,385,['French Senegal'],10/5/1958,6/19/1960
378,386,['Kyrgyzstan'],8/31/1991,9
379,387,['Belarus'],8/25/1991,9
380,388,['British Guiana'],1/1/1905,5/25/1966
381,389,['Guyana'],5/26/1966,9
382,390,['Serbia and Montenegro'],11/20/1991,4/26/1992
383,391,['Laos'],12/2/1975,9
384,392,['Kingdom of Laos'],5/11/1947,11/8/1953
385,393,['Kingdom of Laos'],11/9/1953,12/1/1975
386,394,['Kingdom of Laos'],4/30/1946,5/10/1947
387,395,['Lao Issara'],4/8/1945,8/14/1945
388,396,['Lao Issara'],8/15/1945,4/29/1946
389,397,['Romania'],1/1/1941,9
390,398,['Ghana'],3/6/1957,9
391,399,['Gold Coast'],12/13/1956,3/5/1957
392,400,['Uganda'],10/9/1962,9
393,401,['Uganda Protectorate'],1894-01-01,10/8/1962
394,402,['United Kingdom'],12/8/1922,9
395,403,['Guinea'],10/2/1958,9
396,404,['West Germany'],10/28/1956,10/2/1990
397,405,['Socialist Federal Republic of Yugoslavia'],1/1/1946,11/1/1991
398,406,['Ecuador'],2/26/1942,9
399,407,['Gabon'],8/17/1960,9
400,408,['French Gabon'],12/1/1958,8/19/1960
401,409,['New Zealand'],12/10/1947,9
402,410,['Dominion of New Zealand'],9/26/1907,12/9/1947
403,411,['Republic of Upper Volta'],8/5/1960,8/4/1984
404,412,['French Upper Volta'],10/5/1958,8/4/1960
405,413,['Burkina Faso'],8/5/1984,9
406,414,['Federation of South Arabia'],1/18/1963,11/29/1967
407,415,['South Yemen'],11/30/1967,5/21/1990
408,416,['Federation of South Arabia'],1869-01-01,1/17/1963
409,417,['Philippines'],7/4/1946,9
410,418,['Commonwealth of the Philippines'],11/15/1935,10/13/1943
411,419,['Second Philippine Republic'],10/14/1943,8/16/1945
412,420,['Commonwealth of the Philippines'],8/17/1945,7/3/1946
413,421,['Italy'],2/10/1947,9
414,422,['Italy'],4/25/1945,2/9/1947
415,423,['Oman'],1743-01-01,9
416,424,['Poland'],5/5/1945,9
417,425,['Norway'],8/13/1905,9
418,426,['Ivory Coast'],8/7/1960,9
419,427,"[""Colony of Cote d'Ivoire""]",10/5/1958,8/6/1960
420,428,['Empire of Vietnam'],3/11/1945,8/22/1945
421,429,['State of Vietnam'],6/14/1949,4/30/1954
422,430,['Vietnam'],7/2/1976,9
423,431,['Malaysia'],8/9/1965,9
424,432,['Malaysia'],9/16/1963,8/8/1965
425,433,['British Military Administration of Malaya'],8/15/1945,3/31/1946
426,434,['Finland'],1/4/1918,9
427,435,['Republic of the Congo'],8/15/1960,12/31/1969
428,436,['French Congo'],12/1/1958,8/14/1960
429,437,['Republic of the Congo'],3/15/1992,9
430,438,"[""People's Republic of the Congo""]",1/1/1970,3/14/1992
431,439,['Germany'],10/3/1990,9
432,440,['Zimbabwe'],11/11/1965,9
433,441,['Southern Rhodesia'],1/1/1964,11/10/1965
434,442,['Southern Rhodesia'],10/1/1923,7/31/1953
435,443,['Paraguay'],1/1/1938,9
436,444,['Morocco'],3/2/1956,3/3/1958
437,445,['Morocco'],1/4/1969,3/31/1976
438,446,['Cameroon'],1/1/1960,9/30/1961
439,447,['French Cameroons'],12/1/1958,1/1/1960
440,448,['Yemen'],5/22/1990,6/11/2000
441,449,['Iraq'],6/28/2004,9
442,450,"[""Ba'athist Iraq""]",7/17/1968,4/20/2003
443,451,['Iraq under Coalition Provisional Authority'],4/21/2003,6/27/2004
444,452,['Kingdom of Iraq'],10/3/1932,2/13/1958
445,453,['Kingdom of Iraq'],4/26/1920,10/2/1932
446,454,['Republic of Iraq'],8/2/1958,7/16/1968
447,455,['Sweden'],8/13/1905,9
448,456,['Uzbekistan'],8/31/1991,9
449,457,['Yemen'],6/12/2000,9
450,458,['Papua New Guinea'],9/16/1975,9
451,459,['Territory of Papua and New Guinea'],1/1/1949,9/15/1975
452,460,['Cameroon'],10/1/1961,9
453,461,['Turkmenistan'],10/27/1991,9
454,462,['State of Katanga'],7/1/1960,1/15/1963
455,463,['Somalia'],5/18/1991,9
456,464,['Thailand'],3/26/1945,9
457,465,['France'],1/1/1944,9
458,466,['Morocco'],4/1/1976,8/4/1979
459,467,['Botswana'],9/30/1966,9
460,468,['Bechuanaland Protectorate'],1894-01-01,9/29/1966
461,469,['Kenya'],12/12/1963,9
462,470,['Kenya Colony'],1/1/1920,12/11/1963
463,471,['Madagascar'],6/26/1960,9
464,472,['Ukraine'],12/1/1991,3/20/2014
465,473,['Central African Republic'],8/13/1960,9
466,474,['Ubangi-Shari'],12/1/1958,8/12/1960
467,475,['South Sudan'],7/9/2011,9
468,476,['Somali Republic'],7/1/1960,10/20/1969
469,477,['Somali Democratic Republic'],10/21/1969,5/17/1991
470,478,['Kingdom of Afghanistan'],6/9/1926,7/16/1973
471,479,['Afghanistan'],11/13/2001,9
472,480,['Islamic State of Afghanistan'],4/28/1992,11/12/2001
473,481,['Republic of Afghanistan'],7/17/1973,4/29/1978
474,482,['Democratic Republic of Afghanistan'],4/30/1978,4/27/1992
475,483,['Union of Burma'],1/4/1948,3/1/1962
476,484,['British Burma'],3/26/1945,1/3/1948
477,485,['Myanmar'],3/30/2011,9
478,486,['Socialist Republic of the Union of Burma'],3/2/1962,9/17/1988
479,487,['Burma/Myanmar under the State Peace and Development Council'],9/18/1988,3/29/2011
480,488,['State of Burma'],8/1/1943,3/25/1945
481,489,['Chile'],1818-02-12,9
482,490,['Zambia'],10/24/1964,9
483,491,['Northern Rhodesia'],1/1/1964,10/23/1964
484,492,['Northern Rhodesia'],4/1/1924,7/31/1953
485,493,['Turkey'],6/29/1939,9
486,494,['Mozambique'],12/1/1990,9
487,495,['Portuguese Mozambique'],1/1/1951,6/24/1975
488,496,['Portuguese Mozambique'],12/31/1942,12/31/1950
489,497,"[""People's Republic of Mozambique""]",6/25/1975,11/30/1990
490,498,['Namibia'],2/28/1994,9
491,499,['South-West Africa'],1/1/1915,3/20/1990
492,500,['Federation of Nigeria'],10/1/1960,5/31/1961
493,501,['Colony and Protectorate of Nigeria'],1/14/1914,9/30/1960
494,502,['Pakistan'],12/1/1971,9
495,503,['Federation of Nigeria'],6/1/1961,9/30/1963
496,504,['Nigeria'],1/15/1970,9
497,505,['Nigeria'],10/1/1963,4/30/1967
498,506,['Venezuela'],1845-03-30,9
499,507,"[""People's Republic of China""]",12/1/1949,9
500,508,['Dominion of Pakistan'],8/15/1947,12/31/1948
501,509,['Egypt'],6/1/1967,4/30/1979
502,510,['Tanganyika'],12/9/1961,3/31/1964
503,511,['Tanganyika Territory'],1/1/1922,12/8/1961
504,512,['Tanzania'],4/1/1964,9
505,514,['Republic of Egypt'],6/18/1953,2/21/1958
506,515,['Egypt'],9/1/1961,5/31/1967
507,516,['Egypt'],5/1/1979,9
508,517,['Kingdom of Egypt'],2/28/1922,6/17/1953
509,518,['Pakistan'],3/23/1956,11/30/1971
510,519,['Dominion of Pakistan'],1/1/1949,3/22/1956
511,520,['Mauritania'],11/28/1960,3/31/1976
512,521,['Mauritania'],8/5/1979,9
513,522,['Colonial Mauritania'],12/1/1958,11/27/1960
514,523,['Bolivia'],1840-01-01,9
515,524,['Ethiopia'],5/24/1993,9
516,525,['Abyssinia'],11/1/1941,9/14/1952
517,526,['Mauritania'],4/1/1976,8/4/1979
518,527,['Colombia'],1819-08-07,9
519,528,['Chad'],1/1/1973,9
520,529,['Niger'],8/3/1960,9
521,530,['Colony of Niger'],10/5/1958,8/2/1960
522,531,['United Arab Republic'],2/22/1958,8/31/1961
523,532,['South Africa'],3/1/1990,2/27/1994
524,533,['South Africa'],12/11/1931,2/28/1990
525,534,['South Africa'],2/28/1994,9
526,535,['Angola'],11/11/1975,9
527,536,['Portuguese Angola'],1/1/1905,12/31/1950
528,537,['Portuguese Angola'],1/1/1951,12/31/1971
529,538,['Portuguese Angola'],1/1/1972,11/10/1975
530,539,['Abyssinia'],11/15/1962,3/22/1975
531,540,['Ethiopian-Eritrean Federation'],9/15/1952,11/14/1962
532,541,['Ethiopia'],3/21/1975,5/23/1993
533,542,['Mali'],9/22/1960,9
534,543,['French Sudan'],10/5/1958,6/19/1960
535,544,['Chad'],8/11/1960,12/3/1972
536,545,['Territory of Chad'],12/1/1958,8/10/1960
537,546,['Peru'],2/26/1942,9
